linea;desde;hasta;estacion;pasajeros
B;00:30;00:44;Leandro N. Alem;1
D;00:45;00:59;Catedral;1
H;04:00;04:14;Corrientes;1
D;04:15;04:29;Ministro Carranza;1
H;04:15;04:29;Inclan;2
B;04:30;04:44;Federico Lacroze;1
B;04:30;04:44;Carlos Pellegrini;1
H;04:45;04:59;Caseros;1
B;04:45;04:59;Angel Gallardo;1
B;04:45;04:59;Rosas;8
D;04:45;04:59;Catedral;2
D;04:45;04:59;Plaza Italia;1
B;04:45;04:59;Dorrego;1
H;04:45;04:59;Patricios;3
B;04:45;04:59;Echeverria;3
B;04:45;04:59;Los Incas;4
E;04:45;04:59;Bolivar;1
D;04:45;04:59;Congreso de Tucuman;2
B;04:45;04:59;Pasteur;1
A;04:45;04:59;San Pedrito;2
D;04:45;04:59;Juramento;1
D;04:45;04:59;Olleros;1
C;04:45;04:59;Diagonal Norte;2
E;04:45;04:59;Independencia.;1
A;04:45;04:59;Rio de Janeiro;1
B;04:45;04:59;Medrano;1
C;04:45;04:59;Retiro;8
B;04:45;04:59;Federico Lacroze;7
E;04:45;04:59;Avenida La Plata;2
C;04:45;04:59;Constitucion;17
H;04:45;04:59;Once;1
D;04:45;04:59;Palermo;1
E;04:45;04:59;Entre Rios;1
B;04:45;04:59;Leandro N. Alem;9
C;04:45;04:59;Avenida de Mayo;1
E;04:45;04:59;Pza. de los Virreyes;5
D;05:00;05:14;Juramento;2
C;05:00;05:14;Retiro;27
D;05:00;05:14;Congreso de Tucuman;9
A;05:00;05:14;Primera Junta;6
B;05:00;05:14;Tronador;1
C;05:00;05:14;Constitucion;62
D;05:00;05:14;Olleros;2
B;05:00;05:14;Leandro N. Alem;29
B;05:00;05:14;Medrano;2
C;05:00;05:14;San Juan;3
B;05:00;05:14;Angel Gallardo;1
E;05:00;05:14;Bolivar;2
B;05:00;05:14;Pueyrredon;3
H;05:00;05:14;Patricios;2
C;05:00;05:14;Avenida de Mayo;4
D;05:00;05:14;Aguero;2
C;05:00;05:14;Lavalle;1
A;05:00;05:14;Congreso;1
A;05:00;05:14;Loria;1
A;05:00;05:14;Plaza Miserere;3
D;05:00;05:14;9 de julio;4
D;05:00;05:14;Facultad de Medicina;4
B;05:00;05:14;Rosas;16
A;05:00;05:14;Puan;1
H;05:00;05:14;Once;3
A;05:00;05:14;Alberti;1
E;05:00;05:14;Urquiza;1
B;05:00;05:14;Los Incas;7
D;05:00;05:14;Palermo;9
E;05:00;05:14;Independencia.;3
A;05:00;05:14;Lima;4
A;05:00;05:14;Carabobo;4
E;05:00;05:14;General Belgrano;1
B;05:00;05:14;Dorrego;2
E;05:00;05:14;Varela;1
E;05:00;05:14;Jose Maria Moreno;1
A;05:00;05:14;Rio de Janeiro;5
B;05:00;05:14;Malabia;2
A;05:00;05:14;Acoyte;2
D;05:00;05:14;Jose Hernandez;3
B;05:00;05:14;Callao;1
B;05:00;05:14;Federico Lacroze;15
E;05:00;05:14;San Jose;2
D;05:00;05:14;Ministro Carranza;1
D;05:00;05:14;Catedral;3
E;05:00;05:14;Emilio Mitre;2
D;05:00;05:14;Scalabrini Ortiz;1
H;05:00;05:14;Humberto I;2
B;05:00;05:14;Florida;1
C;05:00;05:14;Mariano Moreno;3
E;05:00;05:14;Entre Rios;2
A;05:00;05:14;San Pedrito;9
H;05:00;05:14;Caseros;3
E;05:00;05:14;Avenida La Plata;5
H;05:00;05:14;Venezuela;1
B;05:00;05:14;Carlos Pellegrini;4
A;05:00;05:14;Piedras;2
D;05:00;05:14;Tribunales;1
E;05:00;05:14;Pza. de los Virreyes;8
B;05:00;05:14;Pasteur;1
B;05:00;05:14;Echeverria;1
E;05:00;05:14;Boedo;2
A;05:00;05:14;Castro Barros;4
D;05:00;05:14;Plaza Italia;12
H;05:00;05:14;Inclan;3
B;05:00;05:14;Uruguay;2
A;05:00;05:14;Plaza de Mayo;4
A;05:00;05:14;Peru;3
B;05:00;05:14;Carlos Gardel;2
D;05:15;05:29;Olleros;8
H;05:15;05:29;Humberto I;2
B;05:15;05:29;Dorrego;6
B;05:15;05:29;Federico Lacroze;69
E;05:15;05:29;Avenida La Plata;3
