id,estacion,linea,longitude,latitude,geojson
1,CASEROS,H,-58.3989485118757,-34.6357419968607,"{""type"":""Point"" ""coordinates"":[-58.39895 -34.63574]}"
2,INCLAN,H,-58.4009695569283,-34.629375658098,"{""type"":""Point"" ""coordinates"":[-58.40097 -34.62938]}"
3,HUMBERTO 1°,H,-58.4023227317347,-34.6230923215951,"{""type"":""Point"" ""coordinates"":[-58.40232 -34.62309]}"
4,VENEZUELA,H,-58.4047317175168,-34.6152421533513,"{""type"":""Point"" ""coordinates"":[-58.40473 -34.61524]}"
5,PLAZA ONCE,H,-58.4060363817645,-34.6089352422548,"{""type"":""Point"" ""coordinates"":[-58.40604 -34.60894]}"
6,9 DE JULIO,D,-58.3805743445213,-34.6042452037712,"{""type"":""Point"" ""coordinates"":[-58.38057 -34.60425]}"
7,FACULTAD DE MEDICINA,D,-58.3979237565356,-34.5997570806249,"{""type"":""Point"" ""coordinates"":[-58.39792 -34.59976]}"
8,TRIBUNALES,D,-58.3851423596596,-34.6015871649049,"{""type"":""Point"" ""coordinates"":[-58.38514 -34.60159]}"
9,AGÜERO,D,-58.4071613212558,-34.5916278450705,"{""type"":""Point"" ""coordinates"":[-58.40716 -34.59163]}"
10,R.SCALABRINI ORTIZ,D,-58.4159554193518,-34.5851559440763,"{""type"":""Point"" ""coordinates"":[-58.41596 -34.58516]}"
11,PLAZA ITALIA,D,-58.4211960117166,-34.5814111944924,"{""type"":""Point"" ""coordinates"":[-58.4212 -34.58141]}"
12,PALERMO,D,-58.4257114410852,-34.5784220229043,"{""type"":""Point"" ""coordinates"":[-58.42571 -34.57842]}"
13,RETIRO,C,-58.374018216823,-34.591193809372,"{""type"":""Point"" ""coordinates"":[-58.37402 -34.59119]}"
14,LAVALLE,C,-58.3781557831942,-34.601769923798,"{""type"":""Point"" ""coordinates"":[-58.37816 -34.60177]}"
15,DIAGONAL NORTE,C,-58.3795299795777,-34.6048437404279,"{""type"":""Point"" ""coordinates"":[-58.37953 -34.60484]}"
16,AV. DE MAYO,C,-58.3806107173785,-34.6089833154281,"{""type"":""Point"" ""coordinates"":[-58.38061 -34.60898]}"
17,MORENO,C,-58.38044447085,-34.612617280313,"{""type"":""Point"" ""coordinates"":[-58.38044 -34.61262]}"
18,INDEPENDENCIA,C,-58.3801736103442,-34.6181255988278,"{""type"":""Point"" ""coordinates"":[-58.38017 -34.61813]}"
19,CONSTITUCION,C,-58.3814344337621,-34.6276194522058,"{""type"":""Point"" ""coordinates"":[-58.38143 -34.62762]}"
21,C. PELLEGRINI,B,-58.3807148483638,-34.6036371051614,"{""type"":""Point"" ""coordinates"":[-58.38071 -34.60364]}"
22,URUGUAY,B,-58.3872961341576,-34.604093553428,"{""type"":""Point"" ""coordinates"":[-58.3873 -34.60409]}"
23,CALLAO,B,-58.392314235117,-34.6044195433043,"{""type"":""Point"" ""coordinates"":[-58.39231 -34.60442]}"
24,PASTEUR,B,-58.3994742577363,-34.6046429678427,"{""type"":""Point"" ""coordinates"":[-58.39947 -34.60464]}"
25,PUEYRREDON,B,-58.405399440292,-34.60458105578,"{""type"":""Point"" ""coordinates"":[-58.4054 -34.60458]}"
26,CARLOS GARDEL,B,-58.4117626011356,-34.6040795184798,"{""type"":""Point"" ""coordinates"":[-58.41176 -34.60408]}"
27,MEDRANO,B,-58.4209624717517,-34.6031649022273,"{""type"":""Point"" ""coordinates"":[-58.42096 -34.60316]}"
28,ANGEL GALLARDO,B,-58.4312738604315,-34.6021622306381,"{""type"":""Point"" ""coordinates"":[-58.43127 -34.60216]}"
29,MALABIA - OSVALDO PUGLIESE,B,-58.4390433746825,-34.5996572816283,"{""type"":""Point"" ""coordinates"":[-58.43904 -34.59966]}"
30,DORREGO,B,-58.4475730932472,-34.591718154527,"{""type"":""Point"" ""coordinates"":[-58.44757 -34.59172]}"
31,PERU,A,-58.3742677265724,-34.6085590738884,"{""type"":""Point"" ""coordinates"":[-58.37427 -34.60856]}"
32,PIEDRAS,A,-58.3790851527922,-34.6088817222436,"{""type"":""Point"" ""coordinates"":[-58.37909 -34.60888]}"
33,LIMA,A,-58.3822324012181,-34.6090998072553,"{""type"":""Point"" ""coordinates"":[-58.38223 -34.6091]}"
34,SAENZ PEÑA,A,-58.3867771943587,-34.6094125867902,"{""type"":""Point"" ""coordinates"":[-58.38678 -34.60941]}"
35,CONGRESO,A,-58.392668824339,-34.6092256841813,"{""type"":""Point"" ""coordinates"":[-58.39267 -34.60923]}"
36,PASCO,A,-58.3984269926834,-34.6096459625333,"{""type"":""Point"" ""coordinates"":[-58.39843 -34.60965]}"
37,ALBERTI,A,-58.401207533951,-34.6098335787885,"{""type"":""Point"" ""coordinates"":[-58.40121 -34.60983]}"
38,PLAZA DE MISERERE,A,-58.4067071171961,-34.6098172463933,"{""type"":""Point"" ""coordinates"":[-58.40671 -34.60982]}"
39,LORIA,A,-58.4151857086427,-34.6107816902173,"{""type"":""Point"" ""coordinates"":[-58.41519 -34.61078]}"
40,CASTRO BARROS,A,-58.421815670424,-34.6117702288802,"{""type"":""Point"" ""coordinates"":[-58.42182 -34.61177]}"
41,RIO DE JANEIRO,A,-58.4295003242476,-34.6152056101139,"{""type"":""Point"" ""coordinates"":[-58.4295 -34.61521]}"
42,ACOYTE,A,-58.436428529588,-34.6182799679461,"{""type"":""Point"" ""coordinates"":[-58.43643 -34.61828]}"
43,PRIMERA JUNTA,A,-58.4411776244941,-34.6204052134137,"{""type"":""Point"" ""coordinates"":[-58.44118 -34.62041]}"
44,BOLIVAR,E,-58.3736842240469,-34.6092424297606,"{""type"":""Point"" ""coordinates"":[-58.37368 -34.60924]}"
45,BELGRANO,E,-58.3775808866363,-34.612849107075,"{""type"":""Point"" ""coordinates"":[-58.37758 -34.61285]}"
46,INDEPENDENCIA,E,-58.3815349422618,-34.6179373943169,"{""type"":""Point"" ""coordinates"":[-58.38153 -34.61794]}"
47,SAN JOSE,E,-58.3851485502849,-34.6223394920484,"{""type"":""Point"" ""coordinates"":[-58.38515 -34.62234]}"
48,ENTRE RIOS - RODOLFO WALSH,E,-58.3915117004694,-34.6227196674666,"{""type"":""Point"" ""coordinates"":[-58.39151 -34.62272]}"
49,PICHINCHA,E,-58.3970680759498,-34.6231098658106,"{""type"":""Point"" ""coordinates"":[-58.39707 -34.62311]}"
50,JUJUY,E,-58.4029365807092,-34.6238657122988,"{""type"":""Point"" ""coordinates"":[-58.40294 -34.62387]}"
51,URQUIZA,E,-58.4093907837292,-34.6246537866685,"{""type"":""Point"" ""coordinates"":[-58.40939 -34.62465]}"
52,JOSE MARIA MORENO,E,-58.4338162517819,-34.6280175481316,"{""type"":""Point"" ""coordinates"":[-58.43382 -34.62802]}"
53,EMILIO MITRE,E,-58.4421707073594,-34.6310418418081,"{""type"":""Point"" ""coordinates"":[-58.44217 -34.63104]}"
54,BULNES,D,-58.4112939023419,-34.588237109769,"{""type"":""Point"" ""coordinates"":[-58.41129 -34.58824]}"
55,PUEYRREDON,D,-58.402395343648,-34.59442571848,"{""type"":""Point"" ""coordinates"":[-58.4024 -34.59443]}"
56,CALLAO,D,-58.39312518234,-34.599639553207,"{""type"":""Point"" ""coordinates"":[-58.39313 -34.59964]}"
57,SAN MARTIN,C,-58.3778190525875,-34.5950574057746,"{""type"":""Point"" ""coordinates"":[-58.37782 -34.59506]}"
58,SAN JUAN,C,-58.3799211800979,-34.6219167333603,"{""type"":""Point"" ""coordinates"":[-58.37992 -34.62192]}"
59,MEDALLA MILAGROSA,E,-58.4502782572548,-34.6363891900731,"{""type"":""Point"" ""coordinates"":[-58.45028 -34.63639]}"
60,AV. LA PLATA,E,-58.426789024345,-34.6270154668436,"{""type"":""Point"" ""coordinates"":[-58.42679 -34.62702]}"
61,BOEDO,E,-58.415532819778,-34.6253661068623,"{""type"":""Point"" ""coordinates"":[-58.41553 -34.62537]}"
62,MINISTRO CARRANZA,D,-58.4350135329444,-34.5751783653176,"{""type"":""Point"" ""coordinates"":[-58.43501 -34.57518]}"
63,OLLEROS,D,-58.4446681474259,-34.5700123091016,"{""type"":""Point"" ""coordinates"":[-58.44467 -34.57001]}"
64,JOSE HERNANDEZ,D,-58.4521256031295,-34.566215242404,"{""type"":""Point"" ""coordinates"":[-58.45213 -34.56622]}"
65,JURAMENTO,D,-58.4564891346516,-34.562309088005,"{""type"":""Point"" ""coordinates"":[-58.45649 -34.56231]}"
66,FEDERICO LACROZE,B,-58.4550292863567,-34.5871978537495,"{""type"":""Point"" ""coordinates"":[-58.45503 -34.5872]}"
67,PLAZA DE LOS VIRREYES,E,-58.4616517626562,-34.6433121637314,"{""type"":""Point"" ""coordinates"":[-58.46165 -34.64331]}"
68,VARELA,E,-58.4578917562798,-34.6401373534618,"{""type"":""Point"" ""coordinates"":[-58.45789 -34.64014]}"
69,CATEDRAL,D,-58.373955806103,-34.6078023367265,"{""type"":""Point"" ""coordinates"":[-58.37396 -34.6078]}"
70,PLAZA DE MAYO,A,-58.3709684997244,-34.608810309661,"{""type"":""Point"" ""coordinates"":[-58.37097 -34.60881]}"
71,CONGRESO DE TUCUMAN,D,-58.4623784089615,-34.5556417667995,"{""type"":""Point"" ""coordinates"":[-58.46238 -34.55564]}"
72,LEANDRO N. ALEM,B,-58.3699298510178,-34.6029894969716,"{""type"":""Point"" ""coordinates"":[-58.36993 -34.60299]}"
73,TRONADOR - VILLA ORTÚZAR,B,-58.466227204617,-34.5840946203706,"{""type"":""Point"" ""coordinates"":[-58.46623 -34.58409]}"
74,DE LOS INCAS -PQUE. CHAS,B,-58.4742408266726,-34.5812488472338,"{""type"":""Point"" ""coordinates"":[-58.47424 -34.58125]}"
75,CARABOBO,A,-58.4567097990004,-34.6266665940388,"{""type"":""Point"" ""coordinates"":[-58.45671 -34.62667]}"
76,PUAN,A,-58.4486476546517,-34.6235289531268,"{""type"":""Point"" ""coordinates"":[-58.44865 -34.62353]}"
77,CORRIENTES,H,-58.4054503292018,-34.6044902012155,"{""type"":""Point"" ""coordinates"":[-58.40545 -34.60449]}"
78,PARQUE PATRICIOS,H,-58.4060782488685,-34.6371959331429,"{""type"":""Point"" ""coordinates"":[-58.40608 -34.6372]}"
79,HOSPITALES,H,-58.412385152533,-34.6412689426098,"{""type"":""Point"" ""coordinates"":[-58.41239 -34.64127]}"
20,FLORIDA,B,-58.3750715187716,-34.6032972862158,"{""type"":""Point"" ""coordinates"":[-58.37507 -34.6033]}"
80,ECHEVERRÍA,B,-58.4810135041216,-34.5777973778049,"{""type"":""Point"" ""coordinates"":[-58.48101 -34.5778]}"
81,JUAN MANUEL DE ROSAS,B,-58.4863853484926,-34.5743189142063,"{""type"":""Point"" ""coordinates"":[-58.48639 -34.57432]}"
83,SAN PEDRITO,A,-58.4696396292697,-34.6307070870644,"{""type"":""Point"" ""coordinates"":[-58.46964 -34.63071]}"
82,SAN JOSÉ DE FLORES,A,-58.4635405106623,-34.6290872274132,"{""type"":""Point"" ""coordinates"":[-58.46354 -34.62909]}"
