status,score,match_type,side,match_addr,fecha,suceso,observacio,emergencia,prevencion,direccion,geocod,barrio,lon,lat
M,100,A,R,2031 PAVON,2014/01/01,INCENDIO,EN BASURA.SOFOCADO POR BOMBEROS,400,5,PAVON 2031,2031 PAVON,PARQUE PATRICIOS,-58.3937,-34.6266
M,100,A,R,2701 DEL LIBERTADOR,2014/01/01,ESCAPE DE GAS,MEDICIONES CON RDO NEGATIVO,0,0,AV DEL LIBERTADOR 2701,2701 DEL LIBERTADOR,NUÃ‘EZ,-58.4079,-34.5781
M,100,A,R,1715 VUELTA DE OBLIGADO,2014/01/01,INCENDIO,EN UN PISO 10.SOFOCADO POR BOMBEROS.SE EVACUO EDIFICIO DE MANERA PREVENTIVA,0,0,VUELTA DE OBLIGADO 1715,1715 VUELTA DE OBLIGADO,BELGRANO,-58.4525,-34.5649
M,100,A,R,1715 VUELTA DE OBLIGADO,2014/01/01,INCENDIO,COLABORACION EN LA EVAC. POR INCENDIO DE PERSONAS QUE NO PODIAN DESCENDER POR SUS PROPIOS MEDIOS,0,0,VUELTA DE OBLIGADO 1715,1715 VUELTA DE OBLIGADO,BELGRANO,-58.4525,-34.5649
M,100,A,"",COBO & CURAPALIGUE,2014/01/01,OTROS,INTENTO DE SUICIDIO.PERSONA MAYOR DE EDAD SE CAYO DESDE UN 3Ã¸ PISO,0,0,COBO Y CURAPALIGUE,COBO & CURAPALIGUE,FLORES,-58.4415,-34.6436
M,100,A,L,352 CHIVILCOY,2014/01/01,OTROS,COLABORACION EN EL ASCENSO POR ESCALERAS DE UNA PERSONA DISCAPACITADA,0,0,CHIVILCOY 352,352 CHIVILCOY,FLORESTA,-58.4835,-34.63
M,100,A,L,1194 MONTES DE OCA MANUEL,2014/01/01,OTROS,COLABORACION EN EL ASCENSO POR ESCALERAS DE UNA PERSONA DISCAPACITADA,0,0,MONTES DE OCA 1194,1194 MONTES DE OCA MANUEL,BARRACAS,-58.3739,-34.6419
M,100,A,L,606 AZARA,2014/01/01,OTROS,ARRIBADOS AL LUGAR NOS INFORMAN QUE LA PERSONA DISCAPACITADA FUE BAJADA POR PERSONAL DE BOMBEROS,0,0,AZARA 606,606 AZARA,BARRACAS,-58.3715,-34.6376
M,100,A,L,3432 CALVO CARLOS,2014/01/01,EMANACIONES,OLOR A COMBUSTIBLE,0,0,CARLOS CALVO 3432,3432 CALVO CARLOS,BOEDO,-58.4141,-34.6235
M,100,A,R,2539 LA PLA,2014/01/01,INCENDIO,EN SUPERMERCADO CHINO,0,0,LA PLATA 2539,2539 LA PLATA,BOEDO,-58.4217,-34.6443
M,100,A,L,1320 IRIGOYEN BERNARDO DE,2014/01/01,ESCAPE DE GAS,ROTURA DE TAPA DE MEDIDOR,0,0,BERNARDO DE IRIGOYEN 1320,1320 IRIGOYEN BERNARDO DE,BARRACAS,-58.3796,-34.6241
M,100,A,L,342 CACHI,2014/01/01,INCENDIO,EN UN AMBIENTE DE UNA VIVIENDA,0,0,CACHI 342,342 CACHI,NUEVA POMPEYA,-58.4124,-34.6472
M,100,A,L,3400 LACARRA,2014/01/01,ESCAPE DE GAS,MEDICIONES CON RDO NEGATIVO.ROTURA DE CAÃ‘O DE UN FLEXIBLE,0,0,LACARRA 3400,3400 LACARRA,VILLA SOLDATI,-58.4478,-34.6666
M,93,A,L,2048 PERON JUAN DOMINGO TTE GENERAL,2014/01/01,OTROS,DESAGOTE DE SOTANO EN UN INST. DE MENORES,0,0,PERON 2048,2048 PERON JUAN DOMINGO TTE GRAL,BALVANERA,-58.3957,-34.6072
M,100,A,R,2271 DIRECTORIO,2014/01/01,ESCAPE DE GAS,ESCAPE DE GAS CON FUEGO,0,0,DIRECTORIO 2271,2271 DIRECTORIO,FLORES,-58.4586,-34.6328
T,100,A,R,2735 BALBASTRO,2014/01/01,OTROS,SE PROCEDIO A PRESTAR GRUPO ELECTROGENO HASTA LAS 20 HS,0,0,BALBASTRO 2735,2735 BALBASTRO,FLORES,-58.4551,-34.6467
M,100,A,L,358 CONDARCO,2014/01/02,OTROS,HUMO SALIENDO DE VEREDA PROVENIENTE DE CABLES,0,0,CONDARCO 358,358 CONDARCO,FLORES,-58.4683,-34.6271
M,85,A,"",MERCEDES & ALVAREZ JONTE AVE,2014/01/02,ESCAPE DE GAS,MEDICIONES CON RDO NEGATIVO,0,0,MERCEDES Y ALVAREZ JONTE,MERCEDES & ALVAREZ JONTE,FLORESTA,-58.4991,-34.6162
M,100,A,L,1426 SANTIAGO DEL ESTERO,2014/01/02,DERRUMBE,CAIDA DE MAMPOSTERIA.SIN RIESGO PARA TERCEROS,0,0,SANTIAGO DEL ESTERO 1426,1426 SANTIAGO DEL ESTERO,CONSTITUCION,-58.3843,-34.6251
M,100,A,"",AQUINO & MURGUIONDO,2014/01/02,OTROS,VERIFICACION DE 4 TAPAS DE REGISTRO UBICADAS ENVEREDA Y CALLE,0,0,AQUINO Y MURGUIONDO,AQUINO & MURGUIONDO,VILLA LUGANO,-58.4776,-34.6755
M,100,A,"",DIAZ CESAR GRAL & ARGERICH,2014/01/02,OTROS,VERIFICACION DE LIMPIEZA DE SUMIDEROS,0,0,GRAL CESAR DIAZ Y ARGERICH,DIAZ CESAR GRAL & ARGERICH,PATERNAL,-58.4803,-34.6151
M,100,A,"",NAZCA & GARCIA JUAN AGUSTIN,2014/01/02,RECORRIDO POR LLUVIA,PERMANECEN EN EL LUGAR DE FORMA PREVENTIVA POR ALERTA DE LLUVIAS,0,0,NAZCA Y JUAN AGUSTIN GARCIA,NAZCA & GARCIA JUAN AGUSTIN,FLORESTA,-58.4822,-34.6104
M,100,A,R,1851 CALDERON DE LA BARCA PEDRO,2014/01/02,INUNDACION,EN VIVIENDA COMO CONSECUENCIA DE LA LLUVIA,0,0,PEDRO CALDERON DE LA BARCA 1851,1851 CALDERON DE LA BARCA PEDRO,FLORESTA,-58.5109,-34.6227
M,100,A,"",GONZALEZ JOAQUIN V & NUEVA YORK,2014/01/02,OTROS,SE PROCEDIO A CONECTAR GRUPO ELECTROGENO Y EN ESE MOMENTO SE RESSTABLECIO EL SERVICIO,0,0,JOAQUIN V GONZALEZ Y NUEVA YORK,GONZALEZ JOAQUIN V & NUEVA YORK,VILLA DEVOTO,-58.5094,-34.5988
M,85,A,"",CABILDO AVE & BLANCO ENCALADA,2014/01/02,RECORRIDO POR LLUVIA,MOVIL APOSTADO EN EL LUGAR DE FORMA PREVENTIVA.PANORAMA NORMAL,0,0,CABILDO Y BLANCO ENCALADA,CABILDO & BLANCO ENCALADA,BELGRANO,-58.4591,-34.5592
M,100,M,"",ESCALADA & CASTAÃ‘ARES,2014/01/02,INCENDIO,"""PASTIZALES, ACOPIO DE RAMAS Y TRONCOS DE ARBOLES (INT. PREDIO MUNICIPAL)""",0,0,ESCALADA Y CASTAÃ‘ARES,ESCALADA & CASTAÃ‘ARES,VILLA LUGANO,-58.4702,-34.6647
M,100,A,"",BLANCO ENCALADA & CRAMER,2014/01/02,RECORRIDO POR LLUVIA,MOVIL APOSTADO EN EL LUGAR DE FORMA PREVENTIVA.PANORAMA NORMAL,0,0,BLANCO ENCALADA Y CRAMER,BLANCO ENCALADA & CRAMER,BELGRANO,-58.4637,-34.562
M,100,A,R,4367 RIO CUARTO,2014/01/02,DERRAME,GASOIL,0,0,RIO CUARTO 4367,4367 RIO CUARTO,NUEVA POMPEYA,-58.41,-34.6559
M,100,A,L,2350 NAMUNCURA,2014/01/02,DERRUMBE,FALSA ALARMA,0,0,NAMUNCURA 2350,2350 NAMUNCURA,FLORESTA,-58.5131,-34.6178
M,100,A,L,6262 RIVERA FRUCTUOSO GENERAL,2014/01/02,OTROS,RETIRO DE GRUPO ELECTROGENO POR REESTABLECIMIENTO DEL SERVICIO ELECTRICO,0,0,FRUCTUOSO RIVERA 6262,6262 RIVERA FRUCTUOSO GENERAL,FLORES,-58.471,-34.6878
M,100,A,R,1019 SUIPACHA,2014/01/02,OTROS,SUMINISTRO DE GRUPO ELECTROGENO PARA PERSONA ELECTRODEPENDIENTE,0,0,SUIPACHA 1019,1019 SUIPACHA,SAN NICOLAS,-58.3799,-34.5962
M,73,A,"",BLANCO ENCALADA & BALBIN RICARDO DRIVE AVE,2014/01/02,RECORRIDO POR LLUVIA,RECORRIDO PREVENTIVO POR LLUVIA.PANORAMA NORMAL,0,0,BLANCO ENCALADA Y BALBIN,BLANCO ENCALADA & BALBIN RICARDO DR,BELGRANO,-58.4651,-34.5628
M,73,A,"",GALVAN & BALBIN RICARDO DRIVE AVE,2014/01/02,RECORRIDO POR LLUVIA,RECORRIDO PREVENTIVO POR LLUVIA.PANORAMA NORMAL,0,0,GALVAN Y BALBIN,GALVAN & BALBIN RICARDO DR,BELGRANO,-58.4958,-34.5553
M,100,A,"",ARIAS & MELIAN,2014/01/02,RECORRIDO POR LLUVIA,RECORRIDO PREVENTIVO POR LLUVIA.PANORAMA NORMAL,0,0,ARIAS Y MELIAN,ARIAS & MELIAN,VILLA GRAL MITRE,-58.4858,-34.5473
M,100,M,L,2570 BRANDSEN,2014/01/14,OTROS,RETIRO DE EQUIPO DE ILUMINACION,0,0,VIEYTES Y BRANDSEN,VIEYTES & BRANDSEN,BARRACAS,-58.385,-34.6392
M,100,A,R,933 24 DE NOVIEMBRE,2014/01/02,OTROS,COLABORACION EN EL ASCENSO DE UNA PERSONA MAYOR DE EDAD,0,0,24 DE NOVIEMBRE 933,933 24 DE NOVIEMBRE,SAN CRISTOBAL,-58.4108,-34.622
M,100,A,L,4038 PARAGUAY,2014/01/02,ESCAPE DE GAS,VACIADO DE GARRAFA EN VIA PUBLICA,0,0,PARAGUAY 4038,4038 PARAGUAY,PALERMO,-58.4197,-34.5882
M,100,A,L,1246 MAZA,2014/01/02,OTROS,COLABORACION EN EL DESCENSO DE UNA PERSONA MAYOR DE EDAD,0,0,MAZA 1246,1246 MAZA,BOEDO,-58.4146,-34.626
M,100,A,R,799 YERBAL,2014/01/08,ESCAPE DE GAS,NO SE DETECTA ANOMALIA ALGUNA,0,0,YERBAL 799,799 YERBAL,FLORES,-58.4419,-34.6192
M,100,A,"",VIRASORO VALENTIN & ANTEZANA,2014/01/02,ESCAPE DE GAS,COMO CONSECUENCIA DE UN INCENDIO.VACIADO DE GARRAFA EN VIA PUBLICA,0,0,VALENTIN VIRASORO Y ANTEZANA,VIRASORO VALENTIN & ANTEZANA,CABALLITO,-58.4456,-34.6055
M,100,M,R,151 RUY DIAZ DE GUZMAN,2014/01/02,INUNDACION,"",0,0,RUIZ DIAZ GUZMAN 151,151 RUIZ DIAZ DE GUZMAN,BARRACAS,-58.3714,-34.6323
M,100,M,R,151 RUY DIAZ DE GUZMAN,2014/01/02,OTROS,DESGOTE DE SOTANO,0,0,RUIZ DIAZ GUZMAN 151,151 RUIZ DIAZ DE GUZMAN,BARRACAS,-58.3714,-34.6323
M,100,A,L,286 RIVERA INDARTE,2014/01/02,OTROS,DESAGOTE DE SOTANO INUNDADO,0,0,RIVERA INDARTE 286,286 RIVERA INDARTE,VILLA DEVOTO,-58.4613,-34.6321
M,75,A,L,2390 AVELLANEDA AVE,2014/01/02,OTROS,RETIRO DE GRUPO ELECTROGENO POR REESTABLECIMIENTO DEL SERVICIO ELECTRICO,0,0,AVELLANEDA 2390,2390 AVELLANEDA,FLORES,-58.4641,-34.6241
M,100,A,R,861 BARCO CENTENERA DEL,2014/01/03,OTROS,RETIRO DE AVE EN PULMON DE EDIFICIO,0,0,DEL BARCO CENTENERA 861,861 BARCO CENTENERA DEL,CABALLITO,-58.4391,-34.6297
M,100,A,L,2352 TERRADA,2014/01/03,EMANACIONES,NO SE DETECTA ANOMALIA ALGUNA,0,0,TERRADA 2352,2352 TERRADA,BOEDO,-58.4827,-34.6078
M,100,A,R,1019 SUIPACHA,2014/01/03,OTROS,RETIRO DE GRUPO ELECTROGENO POR REESTABLECIMIENTO DEL SERVICIO ELECTRICO,0,0,SUIPACHA 1019,1019 SUIPACHA,RECOLETA,-58.3799,-34.5962
