id,nombre,lugar_asoc,direccion,lat,lon
1,Edificio Público,,Maipu 116,-58.3767,-34.6068
2,Edificio Público,,Reconquista 865,-58.3727,-34.5977
3,Edificio Público,,Reconquista 723,-58.3725,-34.5994
4,Edificio Público,,Reconquista 135,-58.3721,-34.6062
5,Hospital Muñiz,,Uspallata 2272,-58.3938,-34.6375
6,Museo Fernandez Blanco,,Suipacha 1422,-58.3802,-34.5911
7,Museo Evita,,Lafinur 2988,-58.4148,-34.5807
8,Centro MetropolItano de diseño,,Villarino 2498,-58.3806,-34.6547
9,Museo Nacional Ferroviario,,Libertador 405,-58.379,-34.59
10,Planetario,,Av. Sarmiento Y Belisario Roldán,-58.4118,-34.5701
11,Museo José Hernández,,Av. Del Libertador 2373,-58.4052,-34.5799
12,Museo de Artes Plásticas Eduardo Sivori,,Av. Infanta Isabel 555,-58.4179,-34.5692
13,ASI,,Bernardo de Irigoyen 272,-58.3804,-34.6115
14,Dirección General de Licencias,,Av. Cnel. Roca 5252,-58.4552,-34.6848
15,Jardín Botánico,,Av. Santa Fe 3951,-58.4191,-34.5828
16,Centro Cultural Recoleta,,Junin 1930,-58.3918,-34.5866
17,Malba,,Av. Fiugueroa Alcorta 3415,-58.4036,-34.5773
18,Ideas del Sur,,Ravignani 1664,-58.4399,-34.582
19,Usina de las Artes,,Pedro de Mendoza y Caffarena,-58.356,-34.6287
20,Jefatura de Gobierno,,Rivadavia 524,-58.3739,-34.6081
21,Cultura,,Av. De Mayo 575,-58.3746,-34.6084
22,Complot,,Aguirre 730,-58.4377,-34.5957
23,Vivienda,,Aguirre 980,-58.4397,-34.5936
24,Vivienda,,Aguirre 883,-58.4386,-34.5942
25,Christian Lacroix,,Gurruchaga  787,-58.4382,-34.5952
26,Buenos Aires Mall,,Gurruchaga 842,-58.4378,-34.5946
27,Ayres,,Loyola 692,-58.4371,-34.5945
28,Bicicletería Junior´s,,Velazco 465,-58.4362,-34.5986
29,Crespín,,Vera 699,-58.4392,-34.5972
30,Monasterio de Santa Catalina de Siena,,San Martín 705,-58.3739,-34.5997
31,Distrito Audiovisual,,Dorrego 1898,-58.4417,-34.58
32,Esc. Normal Superior N° 10 Juan Bautista Alberdi (anexo),,3 de Febrero 2463,-58.4549,-34.5558
33,Esc. de Comercio N° 32 José Leon Suarez (anexo),,Acassuso 6138,-58.5111,-34.6463
34,Esc. Técnica N° 34 Ing. Enrique Martin Hermitte,,Aguirre 1473,-58.4438,-34.5891
35,Escuela media N°3,,Agustin de Vedia 2519,-58.4329,-34.6482
36,Esc. de Comercio N° 31 Naciones Unidas,,Angel Justiniano Carranza 2045,-58.435,-34.5798
37,Esc. de Educacion Media N° 01/16° Rodolfo Walsh,,Argerich 5651,-58.5101,-34.5795
38,Esc. de Comercio N° 33 Maipú,,Avda. Alvarez Jonte 5075,-58.5088,-34.6216
39,Esc. Técnica N° 29 Reconquista de Buenos Aires,,Avda. Boedo 760,-58.4162,-34.6218
40,Esc. Técnica N° 03 Maria Sanchez de Thompson (sede),,Avda. Cabildo 40,-58.4363,-34.5748
41,Liceo N° 05 Pascual Guaglianone,,Avda. Carabobo 286,-58.4548,-34.6302
42,Esc. Normal Superior N° 01 en Lenguas Vivas Presidente R. Saenz Peña,,Avda. Córdoba 1951,-58.3951,-34.5995
43,Esc. de Educación Media N° 03/10°,,Avda. Crisologo Larralde 1050,-58.4558,-34.5429
44,Esc. de Comercio N° 24 Dr. Dalmacio Velez Sarsfield,,Avda. del Campo 1340,-58.4677,-34.5902
45,Esc. Técnica N° 12 Libertador Gral. Jose de San Martin,,Avda. del Libertador 238,-58.3772,-34.5917
46,Esc. Técnicas Raggio,,Avda. del Libertador 8635/51,-58.4663,-34.5363
47,Inst. Superior del Prof. de Educ. Inicial Sara Chamberlain de Eccleston (sede),,Avda. Dorrego 3751,-58.4191,-34.5648
48,Esc. de Educación Media N° 01/03°,,Avda. Entre Ríos 757,-58.3919,-34.6176
49,Esc. de Comercio N° 06 América,,Avda. Escalada 2890,-58.4714,-34.6632
50,Esc. Superior de Comercio N° 03 Hipolito Vieytes,,Avda. Gaona 1502,-58.4499,-34.6096
51,Esc. Técnica de Jardineria Cristobal M. Hicken,,Avda. Gral. Las Heras 4078,-58.4165,-34.5818
52,Esc. Técnica N° 33 Fundicion Maestranza del Plumerillo,,Avda. Intendente Francisco Rabanal 1549,-58.4209,-34.6559
53,Liceo N° 12 Fray Mamerto Esquiu,,Avda. José María Moreno 345,-58.4351,-34.6221
54,Esc. de Bellas Artes Rogelio Yrurtia,,Avda. Juan Bautista Alberdi 4754,-58.4929,-34.6439
55,Esc. de Comercio N° 35 Leopoldo Marechal,,Avda. Larrazábal 5140,-58.4587,-34.6853
56,Esc. de Educacion Media N° 06/21°,,Avda. Larrazábal 5140,-58.4587,-34.6853
57,Esc. de Comercio N° 07 Manuel Belgrano,,Avda. Monroe 3061,-58.4662,-34.5618
58,Colegio N° 03 Mariano Moreno,,Avda. Rivadavia 3577,-58.417,-34.6108
59,Esc. Normal Superior N° 04 Estanislao Severo Zeballos,,Avda. Rivadavia 4950,-58.4353,-34.6179
60,Liceo N° 02 Amancio Alcorta,,Avda. Rivadavia 4950,-58.4353,-34.6179
61,Liceo N° 04 Remedios de Escalada de San Martin,,Ayacucho 875,-58.3957,-34.599
62,Esc. de Educacion Media N° 01/12° Julio Cortazar,,Bogotá 2759,-58.4693,-34.6267
63,Esc. de Cerámica N° 01,,Bulnes 45,-58.4184,-34.6104
64,Esc. de Educacion Media N° 02/20°,,Cañada de Gómez 3850,-58.4864,-34.676
65,Esc. Normal Superior N° 08 Pte. Julio Argentino Roca (anexo),,Carlos Calvo 3150,-58.4098,-34.6227
66,Colegio N° 08 Julio Argentino Roca,,Carlos E. Zuberbühler 1850,-58.4594,-34.5695
67,Colegio N° 07 Juan Martín de Pueyrredon,,Chacabuco 922,-58.3756,-34.6188
68,Esc. Técnica N° 13 Ing. Jose Luis Delpini,,Cnel. Martiniano Chilavert 5460,-58.4675,-34.6793
69,Esc. de Comercio N° 09 José Ingenieros,,Cnel. Ramón L. Falcón 2248,-58.4599,-34.6295
70,Esc. Técnica Nº 11 Manuel Belgrano,,Cochabamba 2830,-58.4046,-34.6258
71,Esc. Técnica N° 16 España,,Concordia 3555,-58.5024,-34.5994
72,Colegio N° 09 Justo José de Urquiza,,Condarco 290,-58.4681,-34.6278
73,Liceo N° 09 Santiago Derqui,,Conesa 1855,-58.4602,-34.5676
74,Esc. de Educacion Media N° 05/10° Héroes de Malvinas,,Crámer 2136,-58.4618,-34.5645
75,Esc. Técnica N° 28 Republica Francesa,,Cuba 2410,-58.4574,-34.5581
76,Esc. Normal Superior N° 11 Dr. Ricardo Levene,,Deán Funes 1821,-58.4049,-34.632
77,Colegio N° 13 Cnel. Tomás Espora,,Gallardo 149,-58.5237,-34.6375
78,Inst. de Educ. Superior Mariano Acosta,,Gral. Urquiza 277,-58.4101,-34.6137
79,Esc. Normal Superior N° 06 Vicente Lopez y Planes,,Güemes 3859,-58.416,-34.5869
80,Ciclo Básico de Formación Ocupacional N° 02 Salvador Maza,,José Pedro Varela 5966,-58.5292,-34.6211
81,Esc. Nº 25 DE 6,,Jujuy 780,-58.4034,-34.6185
82,Esc. de Comercio N° 26 Enrique de Vedia,,Juncal 3251,-58.4104,-34.5852
83,Esc. Normal Superior en Lenguas Vivas Sofia Esther Broquen de Spangenberg,,Juncal 3251,-58.4104,-34.5852
84,Ciclo Básico de Formación Ocupacional N° 03 Olga Cossettini,,Juramento 2945,-58.4619,-34.5649
85,Esc. Normal Superior N° 08 Presidente Julio Argentino Roca (sede),,La Rioja 1042,-58.4071,-34.6225
86,Esc. Técnica N° 17 Brig. Gral. Cornelio Saavedra,,Lacarra 535,-58.4818,-34.6401
87,Colegio N° 02 Domingo Faustino Sarmiento,,Libertad 1257,-58.3843,-34.5935
88,Esc. de Educación Media N° 01/02°,,Mario Bravo 234,-58.4176,-34.608
89,Esc. de Educacion Media N° 02/19° Arturo Jauretche,,Martínez Castro 3067,-58.4488,-34.6624
90,Esc. de Educacion Media N° 05/19°,,Martinez Castro 3077,-58.4487,-34.6625
91,Liceo N° 08 Esteban Echeverria,,Murguiondo 1568,-58.505,-34.6532
92,Colegio N° 19 Luis Pasteur,,Navarro 4344,-58.5128,-34.6055
93,Esc. de Comercio N° 20 Dr. Juan Agustín García,,Nicasio Oroño 2131,-58.4607,-34.602
94,Esc. Normal Superior N° 10 Juan Bautista Alberdi (sede),,O'Higgins 2441,-58.4556,-34.5565
95,Esc. de Comercio N° 10 Islas Malvinas,,Paraguay 1950,-58.3952,-34.5989
96,Esc. Técnica N° 37 Hogar Naval Stella Maris,,Pergamino 211,-58.4735,-34.6351
97,Esc. Técnica N° 08 Paula Albarracin de Sarmiento,,Pío Collivadino 436,-58.4836,-34.6399
98,Esc. Técnica N° 06 Fernando Fader,,Pje. La Porteña 54,-58.4679,-34.6295
99,Colegio N° 10 José de San Martín,,Quito 4047,-58.4235,-34.6167
100,Esc. Técnica N° 24 Defensa de Buenos Aires,,Ricardo Gutiérrez 3246,-58.4959,-34.6019
101,Esc. de Comercio N° 02 Dr. Antonio Bermejo,,Riobamba 623,-58.3939,-34.6018
102,Esc. de Comercio N° 30 Dr. Esteban Agustín Gascon,,San Blas 5387,-58.5091,-34.6306
103,Esc. de Bellas Artes Lola Mora,,Soldado de la Frontera 5155,-58.4645,-34.6852
104,Esc. de Educacion Media N° 05/15°,,Tronador 4134,-58.4869,-34.5528
105,Esc. de Comercio N° 15 Dra. Cecilia Grierson,,Valdenegro 3523,-58.4901,-34.5618
106,Esc. Técnica N° 10 Fray Luis Beltran,,Vieytes 942,-58.3792,-34.6434
107,Esc. de Bellas Artes Manuel Belgrano,,Wenceslao Villafañe 1342,-58.3715,-34.6349
